provenance_id,verification_status,page_confirmation,manuscript_table,method,citation_key,year,dataset,metric,value,training_regime,representation,scoring_mechanism,immediate_source,canonical_table,note
P0113,transcribed_from_manuscript,author_verification_required,tab:self_supervised_methods,SSMTL++v2,barbalau2023ssmtl,2023,ShanghaiTech,frame-level AUC (%),83.8,Self-supervised,Alternative configuration,Pretext discrepancy,cited study barbalau2023ssmtl,no,Repeated local table row
P0114,transcribed_from_manuscript,author_verification_required,tab:self_supervised_methods,HSC,sun2023hierarchical,2023,UCSD Ped2,frame-level AUC (%),98.1,Normal-only semantic contrast,Semantic parsing + AE/memory,Reconstruction + contrastive,cited study sun2023hierarchical,no,Repeated local table row
P0115,transcribed_from_manuscript,author_verification_required,tab:self_supervised_methods,HSC,sun2023hierarchical,2023,CUHK Avenue,frame-level AUC (%),93.7,Normal-only semantic contrast,Semantic parsing + AE/memory,Reconstruction + contrastive,cited study sun2023hierarchical,no,Repeated local table row
P0116,transcribed_from_manuscript,author_verification_required,tab:self_supervised_methods,HSC,sun2023hierarchical,2023,ShanghaiTech,frame-level AUC (%),83.4,Normal-only semantic contrast,Semantic parsing + AE/memory,Reconstruction + contrastive,cited study sun2023hierarchical,no,Repeated local table row
P0117,transcribed_from_manuscript,author_verification_required,tab:transformer_methods,CT-D2GAN,feng2021ct,2021,UCSD Ped2,frame-level AUC (%),97.2,Normal-only,CNN + Transformer hybrid,Prediction,cited study feng2021ct,no,Repeated local table row
P0118,transcribed_from_manuscript,author_verification_required,tab:transformer_methods,CT-D2GAN,feng2021ct,2021,CUHK Avenue,frame-level AUC (%),85.9,Normal-only,CNN + Transformer hybrid,Prediction,cited study feng2021ct,no,Repeated local table row
P0119,transcribed_from_manuscript,author_verification_required,tab:transformer_methods,CT-D2GAN,feng2021ct,2021,ShanghaiTech,frame-level AUC (%),77.7,Normal-only,CNN + Transformer hybrid,Prediction,cited study feng2021ct,no,Repeated local table row
P0120,transcribed_from_manuscript,author_verification_required,tab:transformer_methods,TEVAD,chen2024tevad,2023,UCF-Crime,frame-level AUC (%),84.9,Video-level weak supervision,Caption-augmented MIL,MIL + language,cited study chen2024tevad,no,Repeated local table row
P0121,transcribed_from_manuscript,author_verification_required,tab:transformer_methods,SGTTD,wu2022self,2024,ShanghaiTech,frame-level AUC (%),97.3,Video-level weak supervision,Self-guided temporal transformer,Weak temporal discrimination,cited study wu2022self,no,Repeated local table row
P0122,transcribed_from_manuscript,author_verification_required,tab:transformer_methods,SGTTD,wu2022self,2024,UCF-Crime,frame-level AUC (%),85.1,Video-level weak supervision,Self-guided temporal transformer,Weak temporal discrimination,cited study wu2022self,no,Repeated local table row
P0123,transcribed_from_manuscript,author_verification_required,tab:foundation_methods,LAVAD,zanella2024harnessing,2024,UCF-Crime,frame-level AUC (%),78.1,Training-free,CLIP ViT-L/14,Prompt similarity,cited study zanella2024harnessing,no,Repeated local table row
P0124,transcribed_from_manuscript,author_verification_required,tab:foundation_methods,VadCLIP,wu2024vadclip,2024,UCF-Crime,frame-level AUC (%),88.0,Video labels + frozen CLIP,CLIP ViT-B/16,Vision-language alignment,cited study wu2024vadclip,no,Repeated local table row
P0125,transcribed_from_manuscript,author_verification_required,tab:foundation_methods,VadCLIP,wu2024vadclip,2024,XD-Violence,AP (%),84.5,Video labels + frozen CLIP,CLIP ViT-B/16,Vision-language alignment,cited study wu2024vadclip,no,Repeated local table row
P0126,transcribed_from_manuscript,author_verification_required,tab:foundation_methods,PEL4VAD,zhang2024pel4vad,2024,ShanghaiTech,frame-level AUC (%),98.1,Video labels + CLIP prompt features,I3D + CLIP prompt features,Prompt-enhanced context learning,cited study zhang2024pel4vad,no,Repeated local table row
P0127,transcribed_from_manuscript,author_verification_required,tab:foundation_methods,PEL4VAD,zhang2024pel4vad,2024,UCF-Crime,frame-level AUC (%),86.8,Video labels + CLIP prompt features,I3D + CLIP prompt features,Prompt-enhanced context learning,cited study zhang2024pel4vad,no,Repeated local table row
P0128,transcribed_from_manuscript,author_verification_required,tab:foundation_methods,PEL4VAD,zhang2024pel4vad,2024,XD-Violence,AP (%),85.6,Video labels + CLIP prompt features,I3D + CLIP prompt features,Prompt-enhanced context learning,cited study zhang2024pel4vad,no,Repeated local table row
P0129,transcribed_from_manuscript,author_verification_required,tab:foundation_methods,Follow the Rules,yang2024follow,2024,UCF-Crime,frame-level AUC (%),80.3,Rule induction / verification,LLM/VLM rule pipeline,Rule violation,cited study yang2024follow,no,Repeated local table row
P0130,transcribed_from_manuscript,author_verification_required,tab:sota_fire_classification,Foggia et al.,foggia2015fire,2015,Surveillance videos,accuracy,93.5,task-specific supervised,Multi-expert CNN,classification,cited study foggia2015fire,yes,Early real-time video fire classifier; corpus-specific protocol
P0131,transcribed_from_manuscript,author_verification_required,tab:sota_fire_classification,Muhammad et al.,muhammad2019efficient,2019,Custom CCTV,accuracy,94.5,task-specific supervised,Fine-tuned SqueezeNet,classification,cited study muhammad2019efficient,yes,Lightweight surveillance-oriented model
P0132,transcribed_from_manuscript,author_verification_required,tab:sota_fire_classification,FireNet,jadon2019firenet,2019,FireNet,accuracy,95.2,task-specific supervised,Compact CNN,classification,cited study jadon2019firenet,yes,Preprint-only; not used for SOTA claims
P0133,transcribed_from_manuscript,author_verification_required,tab:sota_fire_classification,Huang / Chen et al.,chen2022fire,2022,Benchmark image and video sets,accuracy,96.8,task-specific supervised,Wavelet + CNN,classification,cited study chen2022fire,yes,Spectral features reduce some fire-like false alarms
P0134,transcribed_from_manuscript,author_verification_required,tab:sota_fire_detection,Guan et al.,guan2022improved,2022,FLAME,mIoU,82.3,task-specific supervised,Mask R-CNN variant,segmentation,cited study guan2022improved,yes,Aerial fire masks; not comparable with detection mAP
P0135,transcribed_from_manuscript,author_verification_required,tab:sota_fire_detection,Niu et al.,niu2023improved,2023,UAV infrared corpus,mAP,89.2,task-specific supervised,YOLOv5 + infrared,detection,cited study niu2023improved,yes,Modality-specific UAV setting
P0136,transcribed_from_manuscript,author_verification_required,tab:sota_fire_detection,Park and Lee,park2024wildfire,2024,Wildfire corpus,mAP,91.0,task-specific supervised,YOLOv8 and RT-DETR with augmentation,detection,cited study park2024wildfire,yes,Reported best configuration; split and IoU threshold are study-specific
P0137,transcribed_from_manuscript,author_verification_required,tab:sota_fire_detection,Gao et al.,gao2024twostage,2024,Heritage buildings,F1,93.1,task-specific supervised,Two-stage deep model,detection and classification,cited study gao2024twostage,yes,Domain-specific indoor early-fire setting
